date,Strategy,CVX_BuyHold,HYG_BuyHold,Equal_Weight
2021-03-30,100000.0,100000.0,100000.0,100000.0
2021-03-31,98743.21856979118,98923.82403074071,100484.04713723907,99703.93558398989
2021-04-01,97836.98500035256,99830.05760017932,100696.84969936965,100263.45364977448
2021-04-05,98795.10944509158,98659.47699409594,100743.13286461544,99701.30492935568
2021-04-06,99279.38131121584,97781.5525188594,100916.64075809393,99349.09663847667
2021-04-07,98356.76681133342,98357.39620979612,100881.89145308002,99619.64383143806
2021-04-08,99147.81327771484,97252.8847959523,100916.64075809393,99084.7627770231
2021-04-09,98953.96739713059,97158.50650951064,100847.17623829342,99002.84137390203
2021-04-12,99761.92247361802,96082.31297332972,100743.13286461544,98412.72291897258
2021-04-13,99075.7826426277,96516.5497090303,100812.52920396137,98664.53945649584
2021-04-14,96921.1815252172,98432.92518933189,100766.25740212468,99599.59129572829
2021-04-15,97497.03103522565,97630.52091017031,101171.01067069567,99400.76579043298
2021-04-16,97714.85123259133,97196.2578240873,100962.83301606696,99079.54542007713
2021-04-19,97224.07526350836,97479.46295109879,100800.92716327492,99140.19505718685
2021-04-20,98846.32444933514,95657.50967454292,100627.4760868419,98142.49288069241
2021-04-21,97332.03756895575,96979.13067277621,100962.83301606696,98970.98184442159
2021-04-22,98826.05496816048,95298.79313491729,100777.81398917477,98038.30356204603
2021-04-23,98079.10212145024,95865.18582201863,101043.84275950845,98454.51429076353
2021-04-26,97932.11027808134,95836.87672781653,100997.57095767176,98417.22384274415
2021-04-27,96647.70919739593,96950.8040116525,100858.77827897988,98904.79114531618
2021-04-28,94102.74775245866,99329.74288877838,101055.37661974033,100192.55975425936
2021-04-29,93922.05878042502,100915.69335673482,101171.01067069567,101043.35201371525
2021-04-30,94807.74416988622,97300.11346474678,101124.73886885899,99212.42616680288
2021-05-03,93745.40159835744,99622.37266924279,101164.2039886475,100393.28832894514
2021-05-04,93393.05373177692,100169.94239982068,101106.2051486243,100638.07377422249
2021-05-05,93911.68501676123,102860.36036431688,101303.46256711229,102081.91146571458
2021-05-06,93806.6244671456,102917.0136865643,101268.65644505293,102092.83506580861
2021-05-07,94174.05740113492,103861.05127134445,101338.30277939896,102599.6770253717
2021-05-10,93772.81709985452,103436.23040563603,101106.2051486243,102271.21777713016
2021-05-11,92550.09264137028,100726.87529962581,101001.75269221888,100864.31399592235
2021-05-12,92358.72017677235,101359.36352934914,100514.39880293304,100936.88116614109
2021-05-13,92336.66018365798,100708.00842579828,100874.09615444054,100791.0522901194
2021-05-14,93444.51521076451,103341.82576881193,101199.04420093416,102270.43498487305
2021-05-17,93875.02157401337,104606.81101171943,101013.37745972353,102810.09423572148
2021-05-18,92229.89119532087,101462.96444964503,100769.67778826242,101116.32111895373
2021-05-19,92855.38013891962,98615.34888696863,100502.77403542839,99559.06146119851
2021-05-20,92830.51491015262,98959.36191319235,100932.12908469104,99945.74549894169
2021-05-21,92589.5578754585,99494.47669633661,101082.9897038423,100288.73320008945
2021-05-24,91925.24379730925,100908.74563923129,101199.04420093416,101053.89492008273
2021-05-25,92641.6191097703,99255.59291259033,101210.65760502972,100233.12525881003
2021-05-26,92489.91568964068,99494.47669633661,101245.48645390729,100369.98157512196
2021-05-27,92906.72202098428,98433.78596849162,101199.04420093416,99816.41508471289
2021-05-28,92834.2920327818,99179.15045312996,101164.2039886475,100171.67722088873
2021-06-01,94946.68555020542,101912.09793488539,101468.07291126905,101690.08542307722
2021-06-02,95146.2646920255,103278.55850057189,101596.1839854112,102437.37124299155
2021-06-03,95136.2298044835,102810.33855498367,101386.63135828193,102098.4849566328
2021-06-04,95266.24302309418,103632.11036523913,101607.82011632495,102619.96524078204
2021-06-07,95351.5731637571,102963.22347390442,101642.7171456571,102302.97030978077
2021-06-08,95442.21567235338,103899.6897154633,101712.63620182141,102806.16295864235
2021-06-09,95532.70547410742,102991.90147346069,101794.16866208131,102393.03506777101
2021-06-10,95644.51891587825,103593.90231070017,101980.36948351942,102787.1358971098
2021-06-11,95719.14552238493,103116.1259597468,102015.34605671524,102565.73600823102
2021-06-14,95762.07474211339,103173.45560847688,101922.13201190523,102547.79381019105
2021-06-15,95821.62510001106,105399.93117280108,101910.49588099147,103655.21352689627
2021-06-16,95849.8756850643,104797.93911902241,101770.78276616285,103284.36094259264
2021-06-17,95924.4656074818,102313.43182637838,101840.72454914538,102077.07818776189
2021-06-18,93372.09679641067,98452.89877922191,101794.16866208131,100123.53372065161
2021-06-21,95498.8527801654,101338.76631374135,101992.00561443316,101665.38596408725
2021-06-22,95803.7070532257,101673.18780075667,102061.89058037021,101867.53919056343
2021-06-23,95745.22448608877,101548.95453100975,101957.11994851012,101753.03723975993
2021-06-24,96294.0319465055,102380.32666393442,102271.45457090858,102325.89061742151
2021-06-25,96368.52581836484,102533.23793323761,102376.23656617777,102454.73724970769
2021-06-28,94460.65755882116,99370.2609935113,102364.60043526403,100867.43071438766
2021-06-29,94490.18318496048,99150.48123703452,102492.68878258798,100821.58500981124
2021-06-30,95270.9778223042,100086.94747859339,102504.35900372901,101295.6532411612
2021-07-01,96321.28058084146,101491.64244920129,102705.24134971846,102098.44189945987
2021-07-02,96298.41087013362,101357.85277408922,102868.78353342024,102113.31815375472
2021-07-06,94938.21619702973,99370.2609935113,102810.37561066961,101090.31830209045
2021-07-07,94295.11403859135,98357.35229249205,102845.47718136547,100601.41473692877
2021-07-08,94089.20275870664,98042.00848236377,102623.44753104939,100332.72800670657
2021-07-09,95201.88105684076,99446.7210198933,102798.67129930129,101122.6961595973
2021-07-12,95403.154603798,99647.37039871818,102763.67199928728,101205.52119900273
2021-07-13,95157.80509865061,99312.92256132042,102459.93943757488,100886.43099944765
2021-07-14,93918.45175638373,97439.99886166348,102623.44753104939,100031.72319635644
2021-07-15,93504.42422149856,96799.7724029634,102553.403477385,99676.5879401742
2021-07-16,91699.6311821996,94238.82265085902,102413.21309937438,98326.0178751167
2021-07-19,89780.34715797845,91697.00327640655,101724.01097432597,96710.50712536626
2021-07-20,90342.9139746845,92241.65689799433,102237.96660430428,97239.8117511493
2021-07-21,92699.94156341738,95385.50346006872,102483.29124326605,98934.39735166739
2021-07-22,92082.55181502496,94429.94197470117,102541.71052942578,98485.82625206347
2021-07-23,92206.56401255315,94468.15881270095,102740.29746677793,98604.22813973944
